PATH;TYPE;USER/GROUP;PERMISSION
\\192.168.13.10\rede gelele;directory;BUILTIN\Administradores;OI)(CI)(F
\\192.168.13.10\rede gelele;directory;AUTORIDADE NT\SISTEMA;OI)(CI)(F
\\192.168.13.10\rede gelele;directory;Todos;OI)(CI)(RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1135;RX
\\192.168.13.10\rede gelele;directory;Todos;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1158;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1153;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1161;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1136;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1170;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1169;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2145;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1138;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1151;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1133;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1147;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1171;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1181;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1193;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2136;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1192;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2137;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2143;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2157;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1132;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1131;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1141;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1140;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1137;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1160;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1183;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1130;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1134;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2133;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2134;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1196;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2127;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-1139;RX
\\192.168.13.10\rede gelele;directory;S-1-5-21-419002201-469617489-1956545658-2140;RX
